RMSE: 0.000000
generatedErrors : 	0
Accuracy :Accuracy :100.0%
Expected=4628825, Predicted=4628825 (err=0)
Expected=4370260, Predicted=4370260 (err=0)
Expected=2953436, Predicted=2953436 (err=0)
Expected=479785, Predicted=479785 (err=0)
Expected=3371966, Predicted=3371966 (err=0)
Expected=2790879, Predicted=2790879 (err=0)
Expected=2586511, Predicted=2586511 (err=0)
Expected=6046909, Predicted=6046909 (err=0)
Expected=4993920, Predicted=4993920 (err=0)
Expected=8523639, Predicted=8523639 (err=0)
Expected=7939615, Predicted=7939615 (err=0)
Expected=8564856, Predicted=8564856 (err=0)
Expected=6189467, Predicted=6189467 (err=0)
Expected=7642492, Predicted=7642492 (err=0)
Expected=6756138, Predicted=6756138 (err=0)
Expected=5541252, Predicted=5541252 (err=0)
Expected=4602451, Predicted=4602451 (err=0)
Expected=8996666, Predicted=8996666 (err=0)
Expected=587656, Predicted=587656 (err=0)
Expected=5734382, Predicted=5734382 (err=0)
Expected=9118156, Predicted=9118156 (err=0)
Expected=7579824, Predicted=7579824 (err=0)
Expected=3039481, Predicted=3039481 (err=0)
Expected=1119714, Predicted=1119714 (err=0)
Expected=3805425, Predicted=3805425 (err=0)
Expected=3029139, Predicted=3029139 (err=0)
Expected=7446711, Predicted=7446711 (err=0)
Expected=6197275, Predicted=6197275 (err=0)
Expected=9495527, Predicted=9495527 (err=0)
Expected=132953, Predicted=132953 (err=0)
Expected=6016080, Predicted=6016080 (err=0)
Expected=3544034, Predicted=3544034 (err=0)
Expected=5138908, Predicted=5138908 (err=0)
Expected=5988546, Predicted=5988546 (err=0)
Expected=7123849, Predicted=7123849 (err=0)
Expected=1921050, Predicted=1921050 (err=0)
Expected=2114200, Predicted=2114200 (err=0)
Expected=8064427, Predicted=8064427 (err=0)
Expected=4741113, Predicted=4741113 (err=0)
Expected=9661518, Predicted=9661518 (err=0)
Expected=9060555, Predicted=9060555 (err=0)
Expected=394220, Predicted=394220 (err=0)
Expected=1906360, Predicted=1906360 (err=0)
Expected=5090404, Predicted=5090404 (err=0)
Expected=4444072, Predicted=4444072 (err=0)
Expected=7245768, Predicted=7245768 (err=0)
Expected=1163614, Predicted=1163614 (err=0)
Expected=2793023, Predicted=2793023 (err=0)
Expected=2770476, Predicted=2770476 (err=0)
Expected=2725375, Predicted=2725375 (err=0)
Expected=8364520, Predicted=8364520 (err=0)
Expected=5340156, Predicted=5340156 (err=0)
Expected=9738754, Predicted=9738754 (err=0)
Expected=4302554, Predicted=4302554 (err=0)
Expected=7158923, Predicted=7158923 (err=0)
Expected=3511638, Predicted=3511638 (err=0)
Expected=4691959, Predicted=4691959 (err=0)
Expected=2164348, Predicted=2164348 (err=0)
Expected=2845178, Predicted=2845178 (err=0)
Expected=6653214, Predicted=6653214 (err=0)
Expected=9666011, Predicted=9666011 (err=0)
Expected=862126, Predicted=862126 (err=0)
Expected=6947701, Predicted=6947701 (err=0)
Expected=3437922, Predicted=3437922 (err=0)
Expected=5248438, Predicted=5248438 (err=0)
Expected=663525, Predicted=663525 (err=0)
Expected=2086018, Predicted=2086018 (err=0)
Expected=6252299, Predicted=6252299 (err=0)
Expected=5994084, Predicted=5994084 (err=0)
Expected=9047185, Predicted=9047185 (err=0)
Expected=4130437, Predicted=4130437 (err=0)
Expected=3889765, Predicted=3889765 (err=0)
Expected=8917030, Predicted=8917030 (err=0)
Expected=3763274, Predicted=3763274 (err=0)
Expected=2974627, Predicted=2974627 (err=0)
Expected=8417109, Predicted=8417109 (err=0)
Expected=8655448, Predicted=8655448 (err=0)
Expected=3324243, Predicted=3324243 (err=0)
Expected=2894444, Predicted=2894444 (err=0)
Expected=7692334, Predicted=7692334 (err=0)
Expected=8437744, Predicted=8437744 (err=0)
Expected=9059124, Predicted=9059124 (err=0)
Expected=1141370, Predicted=1141370 (err=0)
Expected=3112615, Predicted=3112615 (err=0)
Expected=6434043, Predicted=6434043 (err=0)
Expected=9803397, Predicted=9803397 (err=0)
