RMSE: 0.006183
Expected=1181, Predicted=1180 (err=0)
Expected=5141, Predicted=5141 (err=0)
Expected=3760, Predicted=3759 (err=0)
Expected=6755, Predicted=6754 (err=0)
Expected=5669, Predicted=5669 (err=0)
Expected=5969, Predicted=5968 (err=0)
Expected=9699, Predicted=9699 (err=0)
Expected=4569, Predicted=4569 (err=0)
Expected=4578, Predicted=4577 (err=0)
Expected=1960, Predicted=1959 (err=0)
Expected=5608, Predicted=5608 (err=0)
Expected=4024, Predicted=4023 (err=0)
Expected=7198, Predicted=7197 (err=0)
Expected=9649, Predicted=9649 (err=0)
Expected=7140, Predicted=7139 (err=0)
Expected=9384, Predicted=9384 (err=0)
Expected=8295, Predicted=8295 (err=0)
Expected=3578, Predicted=3577 (err=0)
Expected=8773, Predicted=8773 (err=0)
Expected=7819, Predicted=7818 (err=0)
Expected=5117, Predicted=5116 (err=0)
Expected=80, Predicted=79 (err=0)
Expected=4119, Predicted=4118 (err=0)
Expected=8209, Predicted=8209 (err=0)
Expected=9505, Predicted=9505 (err=0)
Expected=9552, Predicted=9552 (err=0)
Expected=2564, Predicted=2564 (err=0)
Expected=5699, Predicted=5698 (err=0)
Expected=8456, Predicted=8456 (err=0)
Expected=5276, Predicted=5277 (err=0)
Expected=5354, Predicted=5353 (err=0)
Expected=2606, Predicted=2606 (err=0)
Expected=2834, Predicted=2833 (err=0)
Expected=6723, Predicted=6722 (err=0)
Expected=9281, Predicted=9280 (err=0)
Expected=7600, Predicted=7599 (err=0)
Expected=4980, Predicted=4979 (err=0)
Expected=502, Predicted=501 (err=0)
Expected=8164, Predicted=8163 (err=0)
Expected=7387, Predicted=7386 (err=0)
Expected=8530, Predicted=8530 (err=0)
Expected=2083, Predicted=2082 (err=0)
Expected=2262, Predicted=2262 (err=0)
Expected=4998, Predicted=4997 (err=0)
Expected=2223, Predicted=2222 (err=0)
Expected=5393, Predicted=5393 (err=0)
Expected=3504, Predicted=3504 (err=0)
Expected=4710, Predicted=4710 (err=0)
Expected=1491, Predicted=1490 (err=0)
Expected=7007, Predicted=7006 (err=0)
Expected=4558, Predicted=4557 (err=0)
Expected=6483, Predicted=6482 (err=0)
Expected=9763, Predicted=9763 (err=0)
Expected=6165, Predicted=6165 (err=0)
Expected=5254, Predicted=5253 (err=0)
Expected=7282, Predicted=7282 (err=0)
Expected=4958, Predicted=4957 (err=0)
Expected=423, Predicted=422 (err=0)
Expected=4919, Predicted=4918 (err=0)
Expected=6682, Predicted=6682 (err=0)
Expected=1043, Predicted=1043 (err=0)
Expected=2655, Predicted=2655 (err=0)
Expected=2805, Predicted=2804 (err=0)
Expected=92, Predicted=92 (err=0)
Expected=260, Predicted=260 (err=0)
Expected=6440, Predicted=6439 (err=0)
Expected=5194, Predicted=5194 (err=0)
Expected=9035, Predicted=9035 (err=0)
Expected=608, Predicted=607 (err=0)
Expected=3326, Predicted=3325 (err=0)
Expected=3473, Predicted=3472 (err=0)
Expected=4707, Predicted=4707 (err=0)
Expected=1855, Predicted=1856 (err=0)
Expected=6739, Predicted=6739 (err=0)
Expected=2322, Predicted=2321 (err=0)
Expected=3856, Predicted=3855 (err=0)
Expected=492, Predicted=492 (err=0)
Expected=6899, Predicted=6899 (err=0)
Expected=8120, Predicted=8119 (err=0)
Expected=8485, Predicted=8485 (err=0)
Expected=5606, Predicted=5605 (err=0)
Expected=4870, Predicted=4869 (err=0)
Expected=2792, Predicted=2791 (err=0)
Expected=8575, Predicted=8575 (err=0)
Expected=262, Predicted=262 (err=0)
Expected=9521, Predicted=9520 (err=0)
Expected=2276, Predicted=2276 (err=0)
Expected=9987, Predicted=9987 (err=0)
Expected=8690, Predicted=8690 (err=0)
Expected=1049, Predicted=1049 (err=0)
Expected=9590, Predicted=9589 (err=0)
Expected=6687, Predicted=6687 (err=0)
Expected=6586, Predicted=6586 (err=0)
Expected=8620, Predicted=8619 (err=0)
Expected=5578, Predicted=5578 (err=0)
Expected=9435, Predicted=9434 (err=0)
Expected=3191, Predicted=3191 (err=0)
Expected=3323, Predicted=3322 (err=0)
Expected=1267, Predicted=1266 (err=0)
Expected=7509, Predicted=7508 (err=0)
generatedErrors : 11
Accuracy :Accuracy :89.0%
