RMSE: 0.181108
generatedErrors : 41
Accuracy :Accuracy :96.72%
Expected=7298875, Generated=7298875 (err=0)
Expected=4179913, Generated=4179913 (err=0)
Expected=9260806, Generated=9260806 (err=0)
Expected=2456470, Generated=2456470 (err=0)
Expected=7416210, Generated=7416210 (err=0)
Expected=3613230, Generated=3613230 (err=0)
Expected=3580461, Generated=3580461 (err=0)
Expected=9483001, Generated=9483001 (err=0)
Expected=332239, Generated=332239 (err=0)
Expected=6706639, Generated=6706639 (err=0)
Expected=8812936, Generated=8812936 (err=0)
Expected=9346562, Generated=9346563 (err=-1)
Expected=8754754, Generated=8754754 (err=0)
Expected=7852853, Generated=7852853 (err=0)
Expected=796629, Generated=796629 (err=0)
Expected=8432662, Generated=8432662 (err=0)
Expected=2304519, Generated=2304519 (err=0)
Expected=9240064, Generated=9240063 (err=1)
Expected=4246817, Generated=4246817 (err=0)
Expected=1932183, Generated=1932183 (err=0)
Expected=6868497, Generated=6868497 (err=0)
Expected=709189, Generated=709189 (err=0)
Expected=8935943, Generated=8935944 (err=-1)
Expected=1956553, Generated=1956553 (err=0)
Expected=2645445, Generated=2645445 (err=0)
Expected=8729964, Generated=8729964 (err=0)
Expected=8307613, Generated=8307613 (err=0)
Expected=6820910, Generated=6820910 (err=0)
Expected=95009, Generated=95009 (err=0)
Expected=3533202, Generated=3533202 (err=0)
Expected=7194547, Generated=7194547 (err=0)
Expected=6295036, Generated=6295036 (err=0)
Expected=6719384, Generated=6719384 (err=0)
Expected=9758956, Generated=9758955 (err=1)
Expected=8091261, Generated=8091261 (err=0)
Expected=1946506, Generated=1946506 (err=0)
Expected=6574231, Generated=6574231 (err=0)
Expected=3883812, Generated=3883812 (err=0)
Expected=3001092, Generated=3001092 (err=0)
Expected=8626598, Generated=8626598 (err=0)
Expected=6787081, Generated=6787081 (err=0)
Expected=5141524, Generated=5141524 (err=0)
Expected=4573849, Generated=4573849 (err=0)
Expected=5333753, Generated=5333753 (err=0)
Expected=5645839, Generated=5645839 (err=0)
Expected=1370585, Generated=1370585 (err=0)
Expected=4382235, Generated=4382235 (err=0)
Expected=5130475, Generated=5130475 (err=0)
Expected=8514375, Generated=8514376 (err=-1)
Expected=3454227, Generated=3454227 (err=0)
Expected=3813737, Generated=3813737 (err=0)
Expected=3788964, Generated=3788964 (err=0)
Expected=5462574, Generated=5462574 (err=0)
Expected=9704408, Generated=9704409 (err=-1)
Expected=193180, Generated=193180 (err=0)
Expected=2874822, Generated=2874822 (err=0)
Expected=563799, Generated=563799 (err=0)
Expected=2292175, Generated=2292175 (err=0)
Expected=9578902, Generated=9578902 (err=0)
Expected=8943517, Generated=8943517 (err=0)
Expected=8765450, Generated=8765451 (err=-1)
Expected=7131866, Generated=7131866 (err=0)
Expected=9366609, Generated=9366609 (err=0)
Expected=8116326, Generated=8116326 (err=0)
Expected=1295892, Generated=1295892 (err=0)
Expected=3324522, Generated=3324522 (err=0)
Expected=4463341, Generated=4463341 (err=0)
Expected=4052464, Generated=4052464 (err=0)
Expected=1726084, Generated=1726084 (err=0)
Expected=4862259, Generated=4862259 (err=0)
Expected=5507932, Generated=5507932 (err=0)
Expected=8485019, Generated=8485019 (err=0)
Expected=1266539, Generated=1266539 (err=0)
Expected=4756302, Generated=4756302 (err=0)
Expected=8645244, Generated=8645244 (err=0)
Expected=4692603, Generated=4692603 (err=0)
Expected=4779465, Generated=4779465 (err=0)
Expected=1221214, Generated=1221214 (err=0)
Expected=8771165, Generated=8771164 (err=1)
Expected=517051, Generated=517051 (err=0)
Expected=8622648, Generated=8622648 (err=0)
Expected=745392, Generated=745392 (err=0)
Expected=4614546, Generated=4614546 (err=0)
Expected=826372, Generated=826372 (err=0)
Expected=4888761, Generated=4888761 (err=0)
Expected=4660069, Generated=4660069 (err=0)
Expected=3972886, Generated=3972886 (err=0)
Expected=3469181, Generated=3469181 (err=0)
Expected=9777441, Generated=9777441 (err=0)
Expected=5274864, Generated=5274864 (err=0)
Expected=8413941, Generated=8413941 (err=0)
Expected=3160139, Generated=3160139 (err=0)
Expected=5510968, Generated=5510968 (err=0)
Expected=2122729, Generated=2122729 (err=0)
Expected=1007952, Generated=1007952 (err=0)
Expected=4373803, Generated=4373803 (err=0)
Expected=5735789, Generated=5735789 (err=0)
Expected=1494357, Generated=1494357 (err=0)
Expected=503360, Generated=503360 (err=0)
Expected=8358272, Generated=8358272 (err=0)
Expected=2202264, Generated=2202264 (err=0)
Expected=1908097, Generated=1908097 (err=0)
Expected=5670212, Generated=5670212 (err=0)
Expected=8082943, Generated=8082943 (err=0)
Expected=1077488, Generated=1077488 (err=0)
Expected=2439111, Generated=2439111 (err=0)
Expected=6896039, Generated=6896039 (err=0)
Expected=8228335, Generated=8228335 (err=0)
Expected=1972026, Generated=1972026 (err=0)
Expected=2259530, Generated=2259530 (err=0)
Expected=9036611, Generated=9036611 (err=0)
Expected=6299901, Generated=6299901 (err=0)
Expected=3515990, Generated=3515990 (err=0)
Expected=9335713, Generated=9335713 (err=0)
Expected=290300, Generated=290300 (err=0)
Expected=6303865, Generated=6303865 (err=0)
Expected=8645152, Generated=8645152 (err=0)
Expected=253557, Generated=253557 (err=0)
Expected=2403124, Generated=2403124 (err=0)
Expected=3627628, Generated=3627628 (err=0)
Expected=7083451, Generated=7083451 (err=0)
Expected=2672715, Generated=2672715 (err=0)
Expected=6534329, Generated=6534329 (err=0)
Expected=1111872, Generated=1111872 (err=0)
Expected=1686195, Generated=1686195 (err=0)
Expected=3819858, Generated=3819858 (err=0)
Expected=1508322, Generated=1508322 (err=0)
Expected=1541899, Generated=1541899 (err=0)
Expected=9763915, Generated=9763914 (err=1)
Expected=2467482, Generated=2467482 (err=0)
Expected=8395767, Generated=8395767 (err=0)
Expected=7787648, Generated=7787648 (err=0)
Expected=7751755, Generated=7751755 (err=0)
Expected=838867, Generated=838867 (err=0)
Expected=6744229, Generated=6744229 (err=0)
Expected=8585934, Generated=8585934 (err=0)
Expected=931741, Generated=931741 (err=0)
Expected=1183709, Generated=1183709 (err=0)
Expected=5009628, Generated=5009628 (err=0)
Expected=3715458, Generated=3715458 (err=0)
Expected=720696, Generated=720696 (err=0)
Expected=2949151, Generated=2949151 (err=0)
Expected=8399951, Generated=8399951 (err=0)
Expected=7152299, Generated=7152299 (err=0)
Expected=8812181, Generated=8812181 (err=0)
Expected=3614569, Generated=3614569 (err=0)
Expected=7781133, Generated=7781133 (err=0)
Expected=75231, Generated=75231 (err=0)
Expected=9322521, Generated=9322522 (err=-1)
Expected=1139579, Generated=1139579 (err=0)
Expected=2797702, Generated=2797702 (err=0)
Expected=7728435, Generated=7728435 (err=0)
Expected=3264229, Generated=3264229 (err=0)
Expected=8197931, Generated=8197931 (err=0)
Expected=1635149, Generated=1635149 (err=0)
Expected=1755237, Generated=1755237 (err=0)
Expected=5274000, Generated=5274000 (err=0)
Expected=3820537, Generated=3820537 (err=0)
Expected=6439298, Generated=6439298 (err=0)
Expected=8807869, Generated=8807869 (err=0)
Expected=5621519, Generated=5621519 (err=0)
Expected=8915378, Generated=8915378 (err=0)
Expected=2020059, Generated=2020059 (err=0)
Expected=1045598, Generated=1045598 (err=0)
Expected=6169986, Generated=6169986 (err=0)
Expected=8071772, Generated=8071772 (err=0)
Expected=6152170, Generated=6152170 (err=0)
Expected=3691652, Generated=3691652 (err=0)
Expected=9625250, Generated=9625250 (err=0)
